title,description,diet_tags
Oatmeal with banana & whey,"Rolled oats, milk, banana, whey protein",balanced
النظام	المرحلة	نوع الوجبة	اسم الوجبة	مكون	كمية (جم)	سعرات حرارية	بروتين (جم)	كربوهيدرات (جم)	دهون (جم)
تنشيف	1	فطار	بيض مسلوق - فطار - تنشيف مرحلة 1	بيض مسلوق	70	108.5	9.1	0.8	7.7
تنشيف	1	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 1	صدر دجاج مشوي	105	172.9	32.2	0	3.5
تنشيف	1	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 1	سمك مشوي	105	162.4	17.5	0	9.8
تنشيف	1	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 1	لبن زبادي قليل الدسم	140	70	7	8.4	0.3
تنشيف	2	فطار	شوفان - فطار - تنشيف مرحلة 2	شوفان	28.3	106	3.5	19.1	2.1
تنشيف	2	غداء	أرز بسمتي - غداء - تنشيف مرحلة 2	أرز بسمتي	106	381.8	6.4	84.8	1.1
تنشيف	2	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 2	سلطة خضراء	70.7	14.1	0.7	2.8	0
تنشيف	2	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 2	مكسرات (لوز)	21.2	123	4.2	4.2	10.6
تنشيف	3	فطار	بيض مسلوق - فطار - تنشيف مرحلة 3	بيض مسلوق	71.4	110.7	9.3	0.8	7.9
تنشيف	3	غداء	صدر دجاج مشوي - غداء - تنشيف مرحلة 3	صدر دجاج مشوي	107.1	176.4	32.8	0	3.6
تنشيف	3	عشاء	سمك مشوي - عشاء - تنشيف مرحلة 3	سمك مشوي	107.1	165.6	17.8	0	10
تنشيف	3	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 3	لبن زبادي قليل الدسم	142.8	71.4	7.1	8.6	0.4
تنشيف	4	فطار	شوفان - فطار - تنشيف مرحلة 4	شوفان	28.8	108.1	3.6	19.5	2.2
تنشيف	4	غداء	أرز بسمتي - غداء - تنشيف مرحلة 4	أرز بسمتي	108.1	389.3	6.5	86.5	1.1
تنشيف	4	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 4	سلطة خضراء	72.1	14.4	0.7	2.9	0
تنشيف	4	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 4	مكسرات (لوز)	21.6	125.5	4.3	4.3	10.8
تنشيف	5	فطار	بيض مسلوق - فطار - تنشيف مرحلة 5	بيض مسلوق	72.8	112.8	9.5	0.8	8
